                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6567,                 9.3566,                  4.103,                  1e-05,                0.00239,                      0,                      0,                 5.4596,                 8.5125,                 4.1572,             0.00064815,             0.00064815,             0.00064815
                      2,                 3.0342,                 5.5018,                 3.0176,                  1e-05,                0.00239,                      0,                      0,                 4.3233,                 5.3128,                 3.6098,              0.0013105,              0.0013105,              0.0013105
                      3,                 2.2114,                 3.1643,                 2.1688,                0.49843,                0.47017,                0.43819,                0.20035,                 2.3119,                 3.6679,                 2.2118,              0.0019684,              0.0019684,              0.0019684
                      4,                 1.9808,                  2.307,                 1.8701,                0.71517,                0.63723,                0.69918,                0.32796,                 1.8579,                 2.3258,                 1.8352,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.6649,                 1.7754,                  1.592,                0.85009,                0.72792,                0.76369,                0.49695,                 1.4443,                 1.8745,                 1.5594,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.5477,                  1.565,                 1.5385,                0.92404,                0.87097,                0.93552,                0.54769,                 1.4404,                 1.3672,                  1.488,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.3844,                 1.2992,                  1.353,                0.83745,                 0.8976,                0.87484,                0.57424,                 1.2993,                 1.4011,                 1.4376,               0.001967,               0.001967,               0.001967
                      8,                   1.37,                  1.219,                 1.3421,                0.95843,                0.91169,                0.96078,                0.66019,                  1.147,                0.91212,                 1.2825,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.2598,                 1.1025,                 1.2668,                 0.9672,                0.92363,                0.96242,                0.64173,                 1.1671,                  1.115,                 1.2897,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.2692,                  1.021,                 1.2958,                0.95821,                0.93042,                0.95939,                  0.684,                 1.1158,                0.78267,                 1.2229,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.1365,                0.90292,                 1.1867,                0.93172,                0.94449,                0.96533,                0.72897,                0.92905,                0.72942,                 1.1134,              0.0019406,              0.0019406,              0.0019406
                     12,                  1.123,                0.86494,                 1.1817,                0.95773,                0.93795,                0.96719,                0.64185,                  1.159,                0.77554,                 1.2371,               0.001934,               0.001934,               0.001934
                     13,                 1.1461,                0.85897,                 1.1568,                0.97036,                0.93767,                0.97021,                0.73171,                0.95123,                0.68869,                 1.1124,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.0943,                0.81475,                  1.131,                0.96509,                 0.9642,                0.97742,                0.74837,                0.91864,                0.68691,                 1.0889,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.0337,                0.78311,                 1.1265,                0.88108,                0.91885,                0.94186,                0.68006,                0.94928,                0.77795,                 1.0915,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.0619,                 0.7735,                 1.1205,                0.96247,                0.94988,                 0.9679,                 0.7276,                0.91558,                0.63054,                 1.0847,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.0174,                0.70614,                 1.0907,                0.96479,                0.97613,                0.97849,                0.70727,                0.96663,                0.59017,                 1.1218,               0.001901,               0.001901,               0.001901
                     18,                 1.0577,                 0.7097,                 1.1322,                0.93967,                0.96659,                0.97698,                0.71935,                 0.9084,                0.61158,                 1.1036,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.0663,                0.69543,                 1.1112,                0.97758,                0.96181,                0.97516,                 0.7745,                0.85669,                 0.5425,                 1.0533,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.0043,                0.68612,                 1.0962,                0.96902,                0.97056,                0.98091,                0.76573,                0.84351,                 0.5489,                 1.0441,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.0354,                 0.6829,                 1.1106,                0.96217,                0.96181,                0.97203,                0.76525,                0.84245,                0.55109,                 1.0358,              0.0018746,              0.0018746,              0.0018746
